Model,AUC,F1,Recall,Accuracy
Preserve Heavy Users (Current),0.9016210045662101,0.7839195979899497,0.65,0.9494117647058824
Remove Heavy Users (IQR),0.8084931506849315,0.7021276595744681,0.55,0.9341176470588235
